Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
199,290495.1,222745.19,114017.43,57158.285,44789.156
200,291347.47,222813.19,113191.34,57143.71,44763.32
201,291506.56,223732.05,113205.39,57136.938,44758.953
202,291456.8,223383.05,113158.22,56315.97,44751.24
203,291520.03,223548.34,113123.05,56312.63,44739.406
204,291338.1,223357.75,113127.875,56309.4,44737.98
205,291364.38,223426.83,113110.18,56309.797,44729.97
206,291382.75,224436.75,113114.89,56314.293,44707.734
207,291300.62,224246.78,113099.82,56323.5,44715.965
208,291272.44,224159.92,113887.48,56308.473,45326.695
209,291308.88,224362.27,113856.4,56307.42,44711.438
210,291504.22,224112.67,113865.08,56306.367,44731.293
211,292236.25,223402.14,113872.375,56295.684,45329.812
212,292279.5,223453.98,113856.75,56302.934,44701.273
213,292268.75,223357.11,113843.555,56276.938,45338.527
214,292142.56,223404.2,113810.75,56286.45,45302.594
215,292142.12,223519.9,113008.89,56279.508,45314.066
216,292171.44,223247.27,113020.55,56280.926,46108.312
217,292168.66,223344.69,113006.41,54673.613,45343.348
218,291097.78,221667.81,113670.48,57215.66,44756.09
219,292018.53,221837.84,113630.11,57221.41,44095.31
220,291942.84,221967.1,113617.98,57226.27,44100.395
221,291878.12,221756.25,113551.68,57241.727,44090.445
222,292647.66,222101.16,113554.414,57234.68,44071.996
223,293416.4,222004.45,113531.0,57227.777,44066.1
224,292797.7,221934.75,113483.89,57236.168,44482.113
225,291959.25,222009.9,113462.22,57232.832,44048.875
226,292010.9,222074.86,113449.4,57222.793,44017.418
227,291284.1,222013.38,113384.7,57207.06,43995.242
228,291294.9,222845.34,114135.98,57193.27,44789.723
229,290519.84,222861.44,114108.38,57172.277,44777.49
230,290482.38,222663.62,114084.32,57192.066,44769.395
231,291415.06,222797.45,114068.6,57175.59,44777.656
232,291477.75,222734.8,114026.44,57181.027,44781.03
233,291370.44,222583.88,113219.305,57162.023,44743.344
234,291396.6,223692.28,113198.33,57140.766,44770.562
235,291381.8,223422.02,113198.88,57116.117,44749.96
236,291319.12,223430.31,113155.88,57111.86,44726.965
237,291361.88,223632.86,113175.586,56312.293,44755.273
238,291359.3,223313.44,113133.805,56299.46,44742.555
239,291430.12,223446.9,113134.5,56290.293,44696.652
240,291323.25,224307.12,113878.516,56291.09,44706.523
241,291470.3,224106.45,113893.31,56292.285,44701.84
242,291351.3,223332.75,113878.43,56299.59,44678.7
243,292204.9,223469.27,113879.52,56283.066,45295.242
